ID_miejsca,ID_wyscigu,Skrot,Zajete_miejsce,Kary,Numer_lodki
92225765,95158478,YCG,1.0,0,0
57593224,10164333,YCG,2.0,0,0
49209272,78792350,YCG,7.0,0,0
52107243,49488836,YCG,2.0,0,0
65234472,94400432,YCG,2.0,0,0
60542046,20315379,YCG,7.0,0,0
84448734,20611740,YCG,1.0,0,0
40235487,28917660,YCG,1.0,0,0
91512751,58678967,YCG,7.0,0,0
5353560,93262944,YCG,1.0,0,0
73543691,22344339,YCG,1.0,0,0
977613,93613839,YCG,7.0,0,0
421123,96367843,YCG,1.0,0,0
74478633,82324271,YCG,1.0,0,0
7552402,11928401,YCG,7.0,0,0
50737173,27396304,YCG,1.0,0,0
53696683,74331278,YCG,2.0,0,0
37964762,47409268,YCG,7.0,0,0
7760741,95158478,YKP,7.0,0,0
39658091,10164333,YKP,1.0,0,0
23005612,78792350,YKP,1.0,0,0
76321966,49488836,YKP,1.0,0,0
3679912,94400432,YKP,1.0,0,0
74346281,20315379,YKP,7.0,0,0
54463853,20611740,YKP,2.0,0,0
35203079,28917660,YKP,7.0,0,0
15788289,58678967,YKP,1.0,0,0
29891865,93262944,YKP,7.0,0,0
71856228,22344339,YKP,5.0,0,0
19949357,93613839,YKP,1.0,0,0
37781586,96367843,YKP,3.0,0,0
15548780,82324271,YKP,2.0,0,0
6253118,11928401,YKP,7.0,0,0
72095886,27396304,YKP,3.0,0,0
18731189,74331278,YKP,7.0,0,0
90629993,47409268,YKP,7.0,1,0
94518089,95158478,WOL,5.0,0,0
10710469,10164333,WOL,7.0,0,0
1986640,78792350,WOL,3.0,0,0
1224322,49488836,WOL,3.0,0,0
35601490,94400432,WOL,3.0,0,0
76942114,20315379,WOL,7.0,0,0
58521695,20611740,WOL,7.0,0,0
44406624,28917660,WOL,2.0,0,0
71350722,58678967,WOL,4.0,0,0
284167,93262944,WOL,4.0,0,0
86098837,22344339,WOL,7.0,0,0
87654498,93613839,WOL,2.0,0,0
46537681,96367843,WOL,2.0,0,0
56298317,82324271,WOL,5.0,0,0
91150551,11928401,WOL,7.0,0,0
55515119,27396304,WOL,7.0,0,0
41618788,74331278,WOL,1.0,0,0
29496412,47409268,WOL,3.0,0,0
12179859,95158478,77R,2.0,0,0
79234882,10164333,77R,7.0,0,0
27744858,78792350,77R,4.0,0,0
39594544,49488836,77R,5.0,0,0
61219327,94400432,77R,7.0,0,0
74576572,20315379,77R,1.0,0,0
67915907,20611740,77R,7.0,0,0
69844225,28917660,77R,3.0,0,0
23726221,58678967,77R,2.0,0,0
13059954,93262944,77R,5.0,0,0
12277929,22344339,77R,7.0,0,0
55806457,93613839,77R,4.0,0,0
25977115,96367843,77R,5.0,0,0
9178580,82324271,77R,7.0,0,0
59849349,11928401,77R,1.0,0,0
14106971,27396304,77R,7.0,0,0
7864278,74331278,77R,5.0,0,0
68231311,47409268,77R,1.0,0,0
14413830,95158478,JSG,4.0,0,0
3942613,10164333,JSG,7.0,0,0
93228812,78792350,JSG,2.0,0,0
97039382,49488836,JSG,7.0,0,0
30645565,94400432,JSG,7.0,1,0
83030891,20315379,JSG,2.0,0,0
29929172,20611740,JSG,7.0,0,0
44621072,28917660,JSG,4.0,0,0
93894414,58678967,JSG,5.0,0,0
76245542,93262944,JSG,3.0,0,0
85703624,22344339,JSG,7.0,0,0
58378577,93613839,JSG,6.0,0,0
82019164,96367843,JSG,7.0,0,0
47619792,82324271,JSG,3.0,0,0
89906311,11928401,JSG,2.0,0,0
54516356,27396304,JSG,7.0,0,0
46907236,74331278,JSG,3.0,0,0
42686766,47409268,JSG,5.0,0,0
50621956,95158478,JMZ,7.0,0,0
38357461,10164333,JMZ,4.0,0,0
21227964,78792350,JMZ,5.0,0,0
87726265,49488836,JMZ,4.0,0,0
15486870,94400432,JMZ,7.0,0,0
7806865,20315379,JMZ,4.0,0,0
58943641,20611740,JMZ,3.0,0,0
56480167,28917660,JMZ,7.0,0,0
12927845,58678967,JMZ,6.0,0,0
31590456,93262944,JMZ,7.0,0,0
81259592,22344339,JMZ,3.0,0,0
48259363,93613839,JMZ,3.0,0,0
89217698,96367843,JMZ,7.0,1,0
48704028,82324271,JMZ,7.0,0,0
8503880,11928401,JMZ,4.0,0,0
38792809,27396304,JMZ,2.0,0,0
33034667,74331278,JMZ,7.0,0,0
76865433,47409268,JMZ,2.0,0,0
40879467,95158478,AWF,3.0,0,0
171664,10164333,AWF,3.0,0,0
75104377,78792350,AWF,7.0,0,0
94269201,49488836,AWF,6.0,0,0
5748411,94400432,AWF,7.0,0,0
42251527,20315379,AWF,3.0,0,0
44170451,20611740,AWF,4.0,0,0
2789501,28917660,AWF,6.0,0,0
61456367,58678967,AWF,7.0,0,0
98118613,93262944,AWF,2.0,0,0
54798569,22344339,AWF,4.0,0,0
1903375,93613839,AWF,7.0,0,0
44878015,96367843,AWF,4.0,0,0
75967543,82324271,AWF,7.0,0,0
41573557,11928401,AWF,3.0,0,0
49984037,27396304,AWF,4.0,0,0
10354792,74331278,AWF,7.0,1,0
16776659,47409268,AWF,7.0,0,0
85063402,95158478,POW,7.0,0,0
97744532,10164333,POW,5.0,0,0
58986707,78792350,POW,6.0,0,0
69443095,49488836,POW,7.0,0,0
36444696,94400432,POW,5.0,0,0
66774906,20315379,POW,5.0,0,0
7033423,20611740,POW,7.0,1,0
93792434,28917660,POW,7.0,0,0
60725433,58678967,POW,3.0,0,0
26501090,93262944,POW,7.0,0,0
37908933,22344339,POW,2.0,0,0
21632659,93613839,POW,5.0,0,0
82873815,96367843,POW,7.0,0,0
28375876,82324271,POW,7.0,1,0
45377800,11928401,POW,6.0,0,0
22577605,27396304,POW,5.0,0,0
32593243,74331278,POW,7.0,0,0
64721029,47409268,POW,4.0,0,0
3550755,95158478,LAS,6.0,0,0
21031665,10164333,LAS,6.0,0,0
78544286,78792350,LAS,7.0,0,0
56010619,49488836,LAS,7.0,0,0
5011780,94400432,LAS,4.0,0,0
48987416,20315379,LAS,6.0,0,0
62715287,20611740,LAS,5.0,0,0
65364728,28917660,LAS,5.0,0,0
20109824,58678967,LAS,7.0,0,0
18266758,93262944,LAS,6.0,0,0
90492787,22344339,LAS,6.0,0,0
63383096,93613839,LAS,7.0,0,0
92280002,96367843,LAS,7.0,0,0
3159519,82324271,LAS,4.0,0,0
56675318,11928401,LAS,5.0,0,0
63638746,27396304,LAS,6.0,0,0
64033393,74331278,LAS,4.0,0,0
18046749,47409268,LAS,7.0,0,0
31197012,63913808,YCG,7.0,0,0
55335991,98881818,YCG,1.0,0,0
50640518,31217293,YCG,2.0,0,0
2854002,43450607,YCG,2.0,0,0
93383436,81011921,YCG,2.0,0,0
28643762,76586715,YCG,7.0,0,0
58366439,69525636,YCG,2.0,0,0
38200266,57926344,YCG,7.0,0,0
30435647,68770420,YCG,1.0,0,0
36169616,42095056,YCG,7.0,0,0
16122864,40593295,YCG,3.0,0,0
98809126,78669143,YCG,1.0,0,0
39426468,63913808,77R,2.0,0,0
2166403,98881818,77R,2.0,0,0
13156805,31217293,77R,7.0,0,0
2435403,43450607,77R,7.0,0,0
60298869,81011921,77R,4.0,0,0
71759525,76586715,77R,2.0,0,0
48728452,69525636,77R,1.0,0,0
31838599,57926344,77R,1.0,0,0
22830777,68770420,77R,7.0,0,0
89642037,42095056,77R,4.0,0,0
16096342,40593295,77R,1.0,0,0
12455263,78669143,77R,7.0,0,0
13531316,63913808,YKP,1.0,0,0
79435536,98881818,YKP,3.0,0,0
80158634,31217293,YKP,7.0,0,0
34651558,43450607,YKP,1.0,0,0
26461654,81011921,YKP,7.0,0,0
60748060,76586715,YKP,1.0,0,0
56253372,69525636,YKP,3.0,0,0
29669256,57926344,YKP,2.0,0,0
71631121,68770420,YKP,7.0,0,0
71365025,42095056,YKP,1.0,0,0
40905698,40593295,YKP,6.0,0,0
72917586,78669143,YKP,7.0,0,0
54014683,63913808,WOL,3.0,0,0
34789906,98881818,WOL,7.0,0,0
97804004,31217293,WOL,4.0,0,0
8320880,43450607,WOL,7.0,0,0
57642964,81011921,WOL,1.0,0,0
70480791,76586715,WOL,3.0,0,0
80335252,69525636,WOL,7.0,0,0
10690687,57926344,WOL,6.0,0,0
19457285,68770420,WOL,5.0,0,0
42055000,42095056,WOL,6.0,0,0
44316806,40593295,WOL,7.0,0,0
22856651,78669143,WOL,3.0,0,0
68669989,63913808,JSG,7.0,0,0
49493878,98881818,JSG,4.0,0,0
52104895,31217293,JSG,1.0,0,0
1886118,43450607,JSG,4.0,0,0
42033492,81011921,JSG,7.0,0,0
49370229,76586715,JSG,4.0,0,0
91069039,69525636,JSG,4.0,0,0
19021121,57926344,JSG,7.0,0,0
49155576,68770420,JSG,4.0,0,0
44375926,42095056,JSG,7.0,0,0
28581349,40593295,JSG,5.0,0,0
39371051,78669143,JSG,5.0,0,0
4748081,63913808,AWF,7.0,0,0
19750830,98881818,AWF,6.0,0,0
86881982,31217293,AWF,6.0,0,0
26701650,43450607,AWF,7.0,0,0
95927833,81011921,AWF,3.0,0,0
89808977,76586715,AWF,5.0,0,0
89431714,69525636,AWF,6.0,0,0
11746851,57926344,AWF,7.0,0,0
32908189,68770420,AWF,2.0,0,0
71444107,42095056,AWF,7.0,0,0
83741519,40593295,AWF,2.0,0,0
32912378,78669143,AWF,2.0,0,0
89344804,63913808,POW,5.0,0,0
90757252,98881818,POW,5.0,0,0
3397972,31217293,POW,7.0,0,0
6778013,43450607,POW,3.0,0,0
73530644,81011921,POW,6.0,0,0
40854714,76586715,POW,7.0,0,0
60643565,69525636,POW,5.0,0,0
62708279,57926344,POW,4.0,0,0
86686055,68770420,POW,7.0,0,0
78404220,42095056,POW,2.0,0,0
53195294,40593295,POW,4.0,0,0
9850536,78669143,POW,7.0,0,0
41025090,63913808,JMZ,4.0,0,0
27148063,98881818,JMZ,7.0,0,0
40065883,31217293,JMZ,5.0,0,0
17822646,43450607,JMZ,5.0,0,0
43944330,81011921,JMZ,5.0,0,0
54470593,76586715,JMZ,7.0,0,0
37502451,69525636,JMZ,7.0,0,0
55089485,57926344,JMZ,5.0,0,0
54908480,68770420,JMZ,3.0,0,0
35250472,42095056,JMZ,3.0,0,0
61497617,40593295,JMZ,7.0,0,0
88753782,78669143,JMZ,4.0,0,0
41255770,63913808,LAS,6.0,0,0
33004825,98881818,LAS,7.0,0,0
98620842,31217293,LAS,3.0,0,0
59185,43450607,LAS,6.0,0,0
79523317,81011921,LAS,7.0,0,0
18096205,76586715,LAS,6.0,0,0
17539082,69525636,LAS,7.0,0,0
30605220,57926344,LAS,3.0,0,0
80948272,68770420,LAS,7.0,1,0
73810954,42095056,LAS,5.0,0,0
45999130,40593295,LAS,7.0,0,0
26482871,78669143,LAS,6.0,0,0
36423477,56917135,YCG,2.0,0,0
30557368,19287685,YCG,7.0,0,0
10361833,97616046,YCG,1.0,0,0
66249409,61372341,YCG,7.0,0,0
86357883,40645410,YCG,5.0,0,0
34653423,54004647,YCG,1.0,0,0
48296449,56011172,YCG,7.0,0,0
22487135,11097575,YCG,1.0,0,0
54217616,15601875,YCG,2.0,0,0
52961693,75578697,YCG,1.0,0,0
14102595,73738621,YCG,7.0,0,0
32672773,26615959,YCG,1.0,0,0
